path,label,generator,family,source_id,media_type,quality,split
data\raw_audio\authentic\2277\2277-149896-0005.wav,0,authentic,authentic,2277,audio,native,test
data\raw_audio\authentic\5536\5536-43358-0000.wav,0,authentic,authentic,5536,audio,native,train
data\raw_audio\authentic\5536\5536-43358-0001.wav,0,authentic,authentic,5536,audio,native,train
data\raw_audio\authentic\5536\5536-43358-0002.wav,0,authentic,authentic,5536,audio,native,train
data\raw_audio\authentic\5536\5536-43358-0003.wav,0,authentic,authentic,5536,audio,native,train
data\raw_audio\authentic\5536\5536-43358-0004.wav,0,authentic,authentic,5536,audio,native,train
data\raw_audio\authentic\777\777-126732-0000.wav,0,authentic,authentic,777,audio,native,train
data\raw_audio\authentic\777\777-126732-0001.wav,0,authentic,authentic,777,audio,native,train
data\raw_audio\authentic\777\777-126732-0002.wav,0,authentic,authentic,777,audio,native,train
data\raw_audio\authentic\777\777-126732-0003.wav,0,authentic,authentic,777,audio,native,train
data\raw_audio\authentic\777\777-126732-0004.wav,0,authentic,authentic,777,audio,native,train
data\raw_audio\authentic\7976\7976-110124-0000.wav,0,authentic,authentic,7976,audio,native,train
data\raw_audio\authentic\7976\7976-110124-0001.wav,0,authentic,authentic,7976,audio,native,train
data\raw_audio\authentic\7976\7976-110124-0002.wav,0,authentic,authentic,7976,audio,native,train
data\raw_audio\authentic\7976\7976-110124-0003.wav,0,authentic,authentic,7976,audio,native,train
data\raw_audio\authentic\7976\7976-110124-0004.wav,0,authentic,authentic,7976,audio,native,train
data\raw_audio\authentic\8297\8297-275156-0000.wav,0,authentic,authentic,8297,audio,native,train
data\raw_audio\authentic\8297\8297-275156-0001.wav,0,authentic,authentic,8297,audio,native,train
data\raw_audio\authentic\8297\8297-275156-0002.wav,0,authentic,authentic,8297,audio,native,train
data\raw_audio\authentic\8297\8297-275156-0003.wav,0,authentic,authentic,8297,audio,native,train
data\raw_audio\authentic\8297\8297-275156-0004.wav,0,authentic,authentic,8297,audio,native,train
data\raw_audio\authentic\84\84-121123-0000.wav,0,authentic,authentic,84,audio,native,val
data\raw_audio\authentic\84\84-121123-0001.wav,0,authentic,authentic,84,audio,native,val
data\raw_audio\authentic\84\84-121123-0003.wav,0,authentic,authentic,84,audio,native,val
data\raw_audio\authentic\84\84-121123-0004.wav,0,authentic,authentic,84,audio,native,val
data\raw_audio\authentic\84\84-121123-0006.wav,0,authentic,authentic,84,audio,native,val
data\raw_audio\kokoro\kokoro_af_heart\1673-143396-0002.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\1673-143396-0010.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\1988-147956-0005.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\2035-147960-0002.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\2086-149214-0001.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\2277-149896-0000.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\2277-149896-0005.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\5536-43358-0003.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\777-126732-0002.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\7976-110124-0001.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\8297-275156-0000.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\8297-275156-0004.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_heart\84-121123-0004.wav,1,kokoro,tts_styletts2,kokoro_af_heart,audio,native,train
data\raw_audio\kokoro\kokoro_af_sarah\1673-143396-0003.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\1988-147956-0002.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\1988-147956-0006.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\2035-147960-0003.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\2086-149214-0003.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\2277-149896-0001.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\5536-43358-0000.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\5536-43358-0004.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\777-126732-0003.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\7976-110124-0002.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\8297-275156-0001.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\84-121123-0000.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_af_sarah\84-121123-0006.wav,1,kokoro,tts_styletts2,kokoro_af_sarah,audio,native,val
data\raw_audio\kokoro\kokoro_am_adam\1673-143396-0005.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\1988-147956-0003.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\2035-147960-0000.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\2035-147960-0004.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\2086-149220-0004.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\2277-149896-0002.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\5536-43358-0001.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\777-126732-0000.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\777-126732-0004.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\7976-110124-0003.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\8297-275156-0002.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_adam\84-121123-0001.wav,1,kokoro,tts_styletts2,kokoro_am_adam,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\1673-143396-0007.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\1988-147956-0004.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\2035-147960-0001.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\2086-149214-0000.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\2086-149220-0005.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\2277-149896-0003.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\5536-43358-0002.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\777-126732-0001.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\7976-110124-0000.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\7976-110124-0004.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\8297-275156-0003.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\kokoro\kokoro_am_puck\84-121123-0003.wav,1,kokoro,tts_styletts2,kokoro_am_puck,audio,native,train
data\raw_audio\piper\piper_en_US-amy-medium\1673-143396-0003.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\1988-147956-0002.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\1988-147956-0006.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\2035-147960-0003.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\2086-149214-0003.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\2277-149896-0001.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\5536-43358-0000.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\5536-43358-0004.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\777-126732-0003.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\7976-110124-0002.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\8297-275156-0001.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\84-121123-0000.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-amy-medium\84-121123-0006.wav,1,piper,tts_vits,piper_en_US-amy-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\1673-143396-0007.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\1988-147956-0004.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\2035-147960-0001.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\2086-149214-0000.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\2086-149220-0005.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\2277-149896-0003.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\5536-43358-0002.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\777-126732-0001.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\7976-110124-0000.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\7976-110124-0004.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\8297-275156-0003.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-joe-medium\84-121123-0003.wav,1,piper,tts_vits,piper_en_US-joe-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\1673-143396-0002.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\1673-143396-0010.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\1988-147956-0005.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\2035-147960-0002.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\2086-149214-0001.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\2277-149896-0000.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\2277-149896-0005.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\5536-43358-0003.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\777-126732-0002.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\7976-110124-0001.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\8297-275156-0000.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\8297-275156-0004.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-lessac-medium\84-121123-0004.wav,1,piper,tts_vits,piper_en_US-lessac-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\1673-143396-0005.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\1988-147956-0003.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\2035-147960-0000.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\2035-147960-0004.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\2086-149220-0004.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\2277-149896-0002.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\5536-43358-0001.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\777-126732-0000.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\777-126732-0004.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\7976-110124-0003.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\8297-275156-0002.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
data\raw_audio\piper\piper_en_US-ryan-medium\84-121123-0001.wav,1,piper,tts_vits,piper_en_US-ryan-medium,audio,native,test
